pollster,grade,score,N,ADJpoint_est_error,ADJmargin_error_favor_trump,ADJabs_margin_error,ADJrightcall,ADJerror,point_est_error,margin_error_favor_trump,margin_poll,margin_actual,abs_margin_error,bias,Mpoint_est_error,Mmargin_error_favor_trump,Mabs_margin_error,rightcall,RADJpoint_est_error,RADJmargin_error_favor_trump,RADJabs_margin_error,RADJerror,Rpoint_est_error,Rmargin_error_favor_trump,Rabs_margin_error,Rbias,RADJrightcall,Rrightcall,Overall_Rank,ROverall_Rank
"ABC News/The Washington Post","A+",2,5,-2.789333,.1428988,-1.299633,.1079622,-1.299633,.8580002,-1.364,4.1,2.736,1.6,1.364,3.647334,-1.506899,2.899633,1,2,27,9,9,1,34,6,18,14,1,8.333333,6
"CVOTER","B/C",8,3,-2.790001,1.335641,-1.98077,.1217949,-1.980769,.9266663,-.2266668,2.316667,2.09,.8866653,.2266667,3.716667,-1.562308,2.867436,1,1,34,5,5,2,40,2,12,7,1,4.333333,2
"Trafalgar Group","C-",11,10,-1.907642,4.48172,-1.434946,.3883207,-1.438142,1.7235,1.081001,-4.149,-3.071,3.307001,-1.078,3.631143,-3.400719,4.741946,.9,3,47,7,7,3,43,16,9,1,17,3.666667,1
"Opinion Savvy/InsiderAdvantage","B-",7,5,-.9257084,-.9459167,-.1005838,-.1208333,-.0985834,1.754999,-3.249999,.5000001,-2.754,3.249999,3.254,2.680707,-2.304083,3.350583,.4,13,18,23,23,4,22,15,30,43,41,26.33333,26
"Landmark Communications","B",5,3,-.5638537,-.173125,-.840625,.09375,-.8356251,1.828333,-2.09,-3,-5.1,2.09,2.1,2.392187,-1.916875,2.930625,1,19,24,13,13,5,29,9,23,17,1,16.33333,12
"Fox News/Beacon Research/Shaw & Co. Research","A-",3,3,-1.825,.4856411,-1.397436,.1217949,-1.397436,1.891667,-1.076666,3.166667,2.09,1.47,1.076667,3.716667,-1.562308,2.867436,1,4,30,8,8,6,35,5,17,7,1,6.333333,4
"Clarity Campaign Labs","B/C",8,3,-1.540429,2.130672,-2.188143,-.0287356,-2.187684,2.151667,-3.996667,-2.666667,-6.663333,3.996667,3.996667,3.692096,-6.127339,6.184811,.3333333,5,42,4,4,7,19,20,33,35,44,14.66667,9
"CNN/Opinion Research Corp.","B+",6,5,-.9176983,1.374555,.9216034,-.1282932,.9218796,2.206999,-.2779999,.1,-.18,4.245999,.28,3.124697,-1.652555,3.324396,.4,14,35,31,31,8,39,25,13,44,41,29.66667,29
"Insights West","B/C",8,5,-.9604691,.3809378,-.7062304,.0417259,-.70623,2.219,1.341999,8,9.342,2.705999,-1.342,3.179469,.9610617,3.41223,.9,12,29,16,16,9,45,12,7,23,17,17,13
"Zia Poll","C/D",12,3,-1.495834,2.041667,1.596666,0,1.594167,2.456666,4.886664,3.333333,8.21,4.886664,-4.876667,3.952499,2.844997,3.289998,1,6,40,41,41,10,51,27,1,31,1,26,24
"Saguaro Strategies","C/D",12,2,-.29706,-3.5,2.5,-.7941176,2.5,2.5,-5,1.5,-3.5,5,5,2.79706,-1.5,2.5,0,21,4,48,48,11,14,30,38,51,48,40,47
"American Research Group","B",5,2,-1.27,2.970201,1.115332,-.2962454,1.11533,2.570001,.2300014,1,1.23,5.140001,-.23,3.84,-2.7402,4.02467,.5,7,44,33,33,12,42,32,10,46,33,28.66667,27
"USC Dornsife/Los Angeles Times","B/C",8,3,-1.06,5.635641,1.205898,-.5448718,1.205897,2.656667,4.073334,-1.983333,2.09,4.073334,-4.073333,3.716667,-1.562308,2.867436,.3333333,10,50,35,35,13,49,21,3,49,44,31.33333,33
"Public Policy Polling","B",5,13,-.8661717,-1.414173,.2131496,.0018593,.2132556,2.708462,-4.952308,3.846154,-1.105385,4.952308,4.951539,3.574634,-3.538135,4.739159,.4615385,16,16,26,26,14,15,29,37,30,39,24,21
