pollster,grade,score,N,ADJpoint_est_error,ADJmargin_error_favor_trump,ADJabs_margin_error,ADJrightcall,ADJerror,point_est_error,margin_error_favor_trump,margin_poll,margin_actual,abs_margin_error,bias,Mpoint_est_error,Mmargin_error_favor_trump,Mabs_margin_error,rightcall,RADJpoint_est_error,RADJmargin_error_favor_trump,RADJabs_margin_error,RADJerror,Rpoint_est_error,Rmargin_error_favor_trump,Rabs_margin_error,Rbias,RADJrightcall,Rrightcall,Overall_Rank,ROverall_Rank
"Cygnal","A/B",4,13,-1.771691,1.33405,-2.433591,.189176,-2.432204,2.416154,-2.566154,-6,-8.563077,3.006154,2.563077,4.187845,-3.900204,5.439745,.9230769,2,113,1,1,2,28,7,107,1,27,1.5,1
"Data for Progress","B-",7,31,-1.829293,-.912768,-1.910593,.0425799,-1.911116,5.582258,5.52,10.72258,16.24645,8.874194,.275,7.352541,6.403324,10.72316,.8064516,1,44,4,4,101,131,131,65,37,74,2.5,2
"Hendrix College","B/C",8,14,-.7649207,2.246428,-2.246428,.1349206,-2.246429,5.840715,-3.381429,-8.642858,-12.02286,6.517144,4.703846,6.223175,-4.504643,7.640358,.9285714,11,126,3,3,109,14,106,129,7,24,7,3
"ABC News/The Washington Post","A+",2,73,-1.578465,-1.256987,-1.023067,.0471608,-1.021436,1.939589,-.7232875,3.493151,2.771644,2.836438,.8122059,3.518054,.5336997,3.859505,.7191781,3,32,18,18,1,43,5,79,31,107,10.5,4
"Monmouth University","A+",2,108,-.7521818,-.0384606,-1.381604,.0292497,-1.382017,4.195231,.4949072,4.367593,4.86213,5.376574,1.805352,4.926519,.5322995,6.719801,.8148148,12,77,11,11,45,72,72,97,44,72,11.5,5
"Dan Jones & Associates","B-",7,38,-.7040328,1.085625,-1.353363,.0178571,-1.352827,5.570921,1.057105,-14.26316,-13.20632,6.934474,2.066774,6.089682,.2571712,7.931689,.9473684,15,107,12,12,100,84,115,100,56,16,13.5,6
"Trafalgar Group","C-",11,48,-1.089385,1.333418,-.7776254,.0736615,-.7777644,3.018542,.0587504,3.184792,3.242708,5.572917,-1.466177,4.085231,-1.246888,6.334342,.75,4,112,27,28,7,59,81,34,22,95,15.5,7
"Public Policy Polling","B",5,423,-.9015712,-.4817882,-.785487,.0410237,-.7854654,3.422518,1.476336,4.368321,5.844468,4.981584,.370068,4.302775,1.946734,5.748501,.8049645,7,61,26,26,21,94,58,67,39,75,16.5,8
"Marquette University Law School","A/B",4,12,-.2349366,-.7205841,-2.273959,.0815361,-2.276124,3.300417,.612501,5.458333,6.069167,2.805834,1.02375,3.515776,1.273036,4.890296,.7916667,33,54,2,2,14,75,4,83,17,82,17.5,9
"Landmark Communications","B",5,39,-.5854418,-.9444322,-.9264786,.0023239,-.9259695,3.353718,-2.580256,-3.34359,-5.925898,4.764871,2.78697,3.819069,-1.829554,5.501303,.8205128,20,43,19,19,17,26,51,113,78,69,19.5,10
